onset	duration	trial_type	outcome	initiation_time	completion_time
12.560846667000078	0.2	instruction_jackpot	false_start	n/a	n/a
17.204019709000022	0.2	instruction_standard	success	0.4905810818017357	1.736781874999906
20.40931429200009	n/a	go_standard	success	0.4905810818017357	1.736781874999906
27.17263466699933	0.2	instruction_robber	success	0.4294186067318009	1.6362621660000514
31.38102495899966	n/a	go_robber	success	0.4294186067318009	1.6362621660000514
37.041918999999325	0.2	instruction_standard	success	0.4945235219618809	1.6365220420002515
41.25068374999955	n/a	go_standard	success	0.4945235219618809	1.6365220420002515
47.91401083399978	0.2	instruction_standard	success	0.4503107050799997	1.853205791999244
51.12002379200021	n/a	go_standard	success	0.4503107050799997	1.853205791999244
56.9985937499996	0.2	instruction_standard	success	0.4831275915915967	1.66943695900045
60.20447987499938	n/a	go_standard	success	0.4831275915915967	1.66943695900045
66.90041887499956	0.2	instruction_standard	too_slow	0.6739988088889675	2.8214160840007025
69.10555812499933	n/a	go_standard	too_slow	0.6739988088889675	2.8214160840007025
76.95346583399987	0.2	instruction_standard	success	0.6453726661801795	1.8370753749995856
78.1566562500002	n/a	go_standard	success	0.6453726661801795	1.8370753749995856
84.01733941699968	0.2	instruction_standard	success	0.4289062411311306	1.4694595840001057
87.22373625	n/a	go_standard	success	0.4289062411311306	1.4694595840001057
93.7206364169997	0.2	instruction_standard	success	0.5163295236275758	1.6697402079998938
97.92810820900011	n/a	go_standard	success	0.5163295236275758	1.6697402079998938
103.62317891699968	0.2	instruction_robber	too_slow	0.4324792795297014	1.9045580000001792
105.82664854199992	n/a	go_robber	too_slow	0.4324792795297014	1.9045580000001792
111.75494933399932	0.2	instruction_jackpot	success	0.6819241291289302	1.585778499999833
112.95810054199956	n/a	go_jackpot	success	0.6819241291289302	1.585778499999833
119.42064483400009	0.2	instruction_standard	too_slow	0.871438379847973	2.170909125000435
120.62314416699974	n/a	go_standard	too_slow	0.871438379847973	2.170909125000435
126.8177382089998	0.2	instruction_standard	success	0.4812787790290826	1.5526495000003706
129.02259966699967	n/a	go_standard	success	0.4812787790290826	1.5526495000003706
135.60157841699947	0.2	instruction_standard	success	0.4873837753503949	1.7872353749999093
137.80642487499972	n/a	go_standard	success	0.4873837753503949	1.7872353749999093
144.619191709	0.2	instruction_standard	success	0.5054940059099238	1.7691750419999153
147.82651974999953	n/a	go_standard	success	0.5054940059099238	1.7691750419999153
154.622222125	0.2	instruction_jackpot	success	0.4861949617477137	1.8362622919994465
156.82709075000002	n/a	go_jackpot	success	0.4861949617477137	1.8362622919994465
