onset	duration	trial_type	outcome	initiation_time	completion_time
11.817757832999632	0.2	instruction_jackpot	false_start	n/a	n/a
17.012167915999726	0.2	instruction_standard	too_slow	0.5209501193693455	2.003259665999849
20.21821524999996	n/a	go_standard	too_slow	0.5209501193693455	2.003259665999849
27.24887599999965	0.2	instruction_robber	too_slow	0.4635202885435205	1.9863317919998733
31.45702266599983	n/a	go_robber	too_slow	0.4635202885435205	1.9863317919998733
37.46867291599983	0.2	instruction_standard	success	0.4817597667627069	1.852853457999572
41.677042583	n/a	go_standard	success	0.4817597667627069	1.852853457999572
48.55701079099981	0.2	instruction_standard	success	0.3734858845615747	1.719554125000286
51.763666582999576	n/a	go_standard	success	0.3734858845615747	1.719554125000286
57.50734395799964	0.2	instruction_standard	success	0.4155671527777826	1.619970583000395
60.71406483299961	n/a	go_standard	success	0.4155671527777826	1.619970583000395
67.36004220799987	0.2	instruction_standard	success	0.4617296949188301	1.570018459000039
69.56482929099957	n/a	go_standard	success	0.4617296949188301	1.570018459000039
76.16140954100001	0.2	instruction_standard	too_slow	0.6856997408017946	2.4720514589998857
77.36327279099987	n/a	go_standard	too_slow	0.6856997408017946	2.4720514589998857
83.85894149999967	0.2	instruction_standard	success	0.4211851051051667	1.7702051250003024
87.06586249999964	n/a	go_standard	success	0.4211851051051667	1.7702051250003024
93.8618017079998	0.2	instruction_standard	too_slow	0.5045304355876112	1.8701405410001823
98.07056587499984	n/a	go_standard	too_slow	0.5045304355876112	1.8701405410001823
103.96491695799978	0.2	instruction_robber	success	0.4617047837837731	1.568836291000025
106.17019849999996	n/a	go_robber	success	0.4617047837837731	1.568836291000025
111.76372091599978	0.2	instruction_jackpot	success	0.5207909864864746	1.7685640830000011
112.96691495799996	n/a	go_jackpot	success	0.5207909864864746	1.7685640830000011
118.76158224999972	0.2	instruction_standard	success	0.4633758737376467	1.652389041999868
119.96399291599982	n/a	go_standard	success	0.4633758737376467	1.652389041999868
125.64070466599968	0.2	instruction_standard	too_slow	0.4421993333333205	1.9036612079999031
127.84593587499968	n/a	go_standard	too_slow	0.4421993333333205	1.9036612079999031
134.7757502909999	0.2	instruction_standard	success	0.3825336525704585	1.5700531249999583
136.98022854099963	n/a	go_standard	success	0.3825336525704585	1.5700531249999583
143.5758700829997	0.2	instruction_standard	too_slow	0.4393342289649808	3.022588125000312
146.78208691599957	n/a	go_standard	too_slow	0.4393342289649808	3.022588125000312
154.83207983299965	0.2	instruction_jackpot	success	0.4996534906807142	1.653207249999923
157.03653966599995	n/a	go_jackpot	success	0.4996534906807142	1.653207249999923
162.71425970799964	0.2	instruction_standard	success	0.4997346652231442	1.686904124999728
164.9183808329999	n/a	go_standard	success	0.4997346652231442	1.686904124999728
170.62882108299982	0.2	instruction_standard	success	0.4734248909549592	1.5521895409997342
172.8339867499999	n/a	go_standard	success	0.4734248909549592	1.5521895409997342
178.4108984999998	0.2	instruction_standard	too_slow	0.4886522162162805	1.954267333000189
180.6155519579997	n/a	go_standard	too_slow	0.4886522162162805	1.954267333000189
186.59340441599988	0.2	instruction_jackpot	too_slow	0.4784737436185935	1.920177208000041
189.80050783299976	n/a	go_jackpot	too_slow	0.4784737436185935	1.920177208000041
196.7465183749996	0.2	instruction_robber	success	0.4939562641391433	1.8368401249999808
198.951551916	n/a	go_robber	success	0.4939562641391433	1.8368401249999808
204.812229875	0.2	instruction_standard	success	0.4673409458148967	1.8195272910002127
209.0210713749998	n/a	go_standard	success	0.4673409458148967	1.8195272910002127
214.8660395829997	0.2	instruction_standard	success	0.394580203621615	1.619287875000282
217.07010591599965	n/a	go_standard	success	0.394580203621615	1.619287875000282
223.71579004099976	0.2	instruction_standard	too_slow	0.6540940911192479	2.253715000000284
224.9190666249997	n/a	go_standard	too_slow	0.6540940911192479	2.253715000000284
232.19921941599972	0.2	instruction_standard	success	0.7617334621860437	1.819262666999748
233.4024132909999	n/a	go_standard	success	0.7617334621860437	1.819262666999748
239.2463829999997	0.2	instruction_standard	success	0.4872623504755893	1.8539369160002928
242.4530663749997	n/a	go_standard	success	0.4872623504755893	1.8539369160002928
249.33354591599985	0.2	instruction_jackpot	success	0.4942937994394469	1.719410166000216
252.5399169999996	n/a	go_jackpot	success	0.4942937994394469	1.719410166000216
258.28428749999966	0.2	instruction_standard	success	0.4721764539539208	1.7701024169996344
261.490046208	n/a	go_standard	success	0.4721764539539208	1.7701024169996344
268.2871484579996	0.2	instruction_standard	success	0.4666937453393984	1.6702607920001356
272.4948145829999	n/a	go_standard	success	0.4666937453393984	1.6702607920001356
279.1920331659999	0.2	instruction_robber	too_slow	0.513587167925948	2.2868163329999334
280.39467745799993	n/a	go_robber	too_slow	0.513587167925948	2.2868163329999334
287.7078890829998	0.2	instruction_standard	success	0.6046831587926818	1.8697348339997009
288.9113581659999	n/a	go_standard	success	0.6046831587926818	1.8697348339997009
295.8071700409996	0.2	instruction_jackpot	success	0.4332728842163078	1.7205635410000468
298.0117316249998	n/a	go_jackpot	success	0.4332728842163078	1.7205635410000468
304.7580091249997	0.2	instruction_standard	success	0.4489621799299357	1.803489958000228
308.9670777079996	n/a	go_standard	success	0.4489621799299357	1.803489958000228
315.7962696659997	0.2	instruction_standard	success	0.4954534921170648	1.803859791999912
320.00501641599976	n/a	go_standard	success	0.4954534921170648	1.803859791999912
325.8326081249997	0.2	instruction_standard	success	0.500919290215279	1.8359422920002544
330.0416619579996	n/a	go_standard	success	0.500919290215279	1.8359422920002544
335.902353041	0.2	instruction_standard	success	0.4828098310811128	1.8029864579998505
339.1090883329998	n/a	go_standard	success	0.4828098310811128	1.8029864579998505
344.9365668329997	0.2	instruction_robber	success	0.4784221586746753	1.61977779200015
346.13986833299987	n/a	go_robber	success	0.4784221586746753	1.61977779200015
351.7837364999996	0.2	instruction_standard	too_slow	0.5429993764414576	1.9205256250002087
352.9862248749996	n/a	go_standard	too_slow	0.5429993764414576	1.9205256250002087
359.9327640829997	0.2	instruction_standard	success	0.462339672920848	1.8201674169999933
361.1358901659996	n/a	go_standard	success	0.462339672920848	1.8201674169999933
367.9827962079999	0.2	instruction_jackpot	success	0.419718769177166	1.535145833000115
369.1850164579996	n/a	go_jackpot	success	0.419718769177166	1.535145833000115
374.7448254579999	0.2	instruction_jackpot	success	0.4457978126607145	1.6533342090001495
376.9501109159996	n/a	go_jackpot	success	0.4457978126607145	1.6533342090001495
382.6272530829997	0.2	instruction_standard	too_slow	0.510694095851818	1.9868300419998377
383.8300063329998	n/a	go_standard	too_slow	0.510694095851818	1.9868300419998377
390.8440160409996	0.2	instruction_standard	success	0.5284704604604826	1.6866491250002582
392.0464805409997	n/a	go_standard	success	0.5284704604604826	1.6866491250002582
397.7575467079996	0.2	instruction_robber	success	0.4336581363824052	1.837200792000204
399.9616850409998	n/a	go_robber	success	0.4336581363824052	1.837200792000204
405.8225070409999	0.2	instruction_standard	success	0.456310668793833	1.7379395419998218
407.0249255409999	n/a	go_standard	success	0.456310668793833	1.7379395419998218
412.78623708299983	0.2	instruction_standard	success	0.4805575185185375	1.8695347500001844
416.99527787499983	n/a	go_standard	success	0.4805575185185375	1.8695347500001844
422.8902329579996	0.2	instruction_standard	too_slow	0.4729936033293711	2.671126499999445
425.0941842080001	n/a	go_standard	too_slow	0.4729936033293711	2.671126499999445
431.79079729099976	0.2	instruction_standard	success	0.4626852353602544	1.7868254579998393
434.9970417499999	n/a	go_standard	success	0.4626852353602544	1.7868254579998393
441.8103823749998	0.2	instruction_standard	success	0.3821607037777426	1.7361490839994076
446.0185751660001	n/a	go_standard	success	0.3821607037777426	1.7361490839994076
452.81447929099977	0.2	instruction_standard	success	0.4472730591890581	1.702499999999418
456.021581	n/a	go_standard	success	0.4472730591890581	1.702499999999418
461.74859004100017	0.2	instruction_standard	success	0.4659616850930206	1.7037105829995198
464.9553219580002	n/a	go_standard	success	0.4659616850930206	1.7037105829995198
